shape id,point id,x,y,PPS
3P%,0,46,277,1.065
3P%,1,238,276,1.065
3P%,2,237,20,1.065
3P%,3,46,18,1.065
3P%,4,46,36,1.065
3P%,5,120,35,1.065
3P%,6,154,54,1.065
3P%,7,180,84,1.065
3P%,8,194,121,1.065
3P%,9,197,167,1.065
3P%,10,177,216,1.065
3P%,11,153,238,1.065
3P%,12,121,259,1.065
3P%,13,48,259,1.065
3P%,14,46,277,1.065
16-3pt%,0,48,259,0.7978
16-3pt%,1,121,259,0.7978
16-3pt%,2,153,238,0.7978
16-3pt%,3,177,216,0.7978
16-3pt%,4,197,167,0.7978
16-3pt%,5,194,121,0.7978
16-3pt%,6,180,84,0.7978
16-3pt%,7,154,54,0.7978
16-3pt%,8,120,35,0.7978
16-3pt%,9,46,36,0.7978
16-3pt%,10,47,63,0.7978
16-3pt%,11,100,64,0.7978
16-3pt%,12,127,77,0.7978
16-3pt%,13,145,98,0.7978
16-3pt%,14,159,124,0.7978
16-3pt%,15,161,153,0.7978
16-3pt%,16,154,185,0.7978
16-3pt%,17,142,211,0.7978
16-3pt%,18,110,229,0.7978
16-3pt%,19,47,229,0.7978
16-3pt%,20,48,259,0.7978
10-16%,0,47,229,0.8224
10-16%,1,110,229,0.8224
10-16%,2,142,211,0.8224
10-16%,3,154,185,0.8224
10-16%,4,161,153,0.8224
10-16%,5,159,124,0.8224
10-16%,6,145,98,0.8224
10-16%,7,127,77,0.8224
10-16%,8,100,64,0.8224
10-16%,9,47,63,0.8224
10-16%,10,47,89,0.8224
10-16%,11,100,90,0.8224
10-16%,12,120,104,0.8224
10-16%,13,133,133,0.8224
10-16%,14,132,155,0.8224
10-16%,15,123,182,0.8224
10-16%,16,112,198,0.8224
10-16%,17,89,206,0.8224
10-16%,18,48,205,0.8224
10-16%,19,47,229,0.8224
3-10%,0,48,205,0.7976
3-10%,1,89,206,0.7976
3-10%,2,112,198,0.7976
3-10%,3,123,182,0.7976
3-10%,4,132,155,0.7976
3-10%,5,133,133,0.7976
3-10%,6,120,104,0.7976
3-10%,7,100,90,0.7976
3-10%,8,47,89,0.7976
3-10%,9,47,126,0.7976
3-10%,10,66,127,0.7976
3-10%,11,82,127,0.7976
3-10%,12,94,138,0.7976
3-10%,13,95,151,0.7976
3-10%,14,91,160,0.7976
3-10%,15,82,168,0.7976
3-10%,16,67,168,0.7976
3-10%,17,46,169,0.7976
3-10%,18,48,205,0.7976
0-3%,0,67,168,1.3166
0-3%,1,82,168,1.3166
0-3%,2,91,160,1.3166
0-3%,3,95,151,1.3166
0-3%,4,94,138,1.3166
0-3%,5,82,127,1.3166
0-3%,6,66,127,1.3166
0-3%,7,67,168,1.3166
